Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,0,30,30,5,0,0,0
2,2,33,28,3,0.07,0.4,0.12
3,2,49,28,4,0.07,0.33,0.12
4,0,34,30,4,0,0,0
5,11,33,19,3,0.37,0.79,0.5
6,1,38,29,4,0.03,0.2,0.05
7,1,58,29,4,0.03,0.2,0.05
8,6,39,24,2,0.2,0.75,0.32
9,6,21,24,4,0.2,0.6,0.3
10,1,55,29,4,0.03,0.2,0.05
11,1,45,29,4,0.03,0.2,0.05
12,0,40,30,4,0,0,0
13,0,54,30,5,0,0,0
14,3,14,27,2,0.1,0.6,0.17
15,3,38,27,4,0.1,0.43,0.16
16,0,47,30,5,0,0,0
17,0,39,30,5,0,0,0
18,4,32,26,5,0.13,0.44,0.2
19,2,40,28,3,0.07,0.4,0.12
20,3,46,27,4,0.1,0.43,0.16
21,8,36,22,3,0.27,0.73,0.39
22,0,52,30,3,0,0,0
23,4,63,26,4,0.13,0.5,0.21
24,0,32,30,6,0,0,0
25,0,49,30,5,0,0,0
26,4,25,26,3,0.13,0.57,0.21
27,6,56,24,5,0.2,0.55,0.29
28,2,16,28,5,0.07,0.29,0.11
29,2,25,28,2,0.07,0.5,0.12
30,0,65,30,5,0,0,0
31,0,50,30,4,0,0,0
32,6,19,24,3,0.2,0.67,0.31
33,2,56,28,4,0.07,0.33,0.12
34,3,19,27,4,0.1,0.43,0.16
35,4,47,26,2,0.13,0.67,0.22
36,7,54,23,3,0.23,0.7,0.35
37,0,22,30,3,0,0,0
38,0,53,30,4,0,0,0
39,0,41,30,5,0,0,0
40,3,53,27,5,0.1,0.38,0.16
41,1,50,29,4,0.03,0.2,0.05
42,0,29,30,5,0,0,0
43,0,20,30,4,0,0,0
44,11,15,19,1,0.37,0.92,0.53
45,2,45,28,3,0.07,0.4,0.12
46,2,36,28,4,0.07,0.33,0.12
47,1,43,29,4,0.03,0.2,0.05
48,1,62,29,5,0.03,0.17,0.05
49,5,7,25,3,0.17,0.62,0.27
50,0,55,30,5,0,0,0
51,2,54,28,3,0.07,0.4,0.12
52,0,47,30,4,0,0,0
53,4,33,26,2,0.13,0.67,0.22
54,4,36,26,3,0.13,0.57,0.21
55,2,34,28,3,0.07,0.4,0.12
56,1,62,29,4,0.03,0.2,0.05
57,2,70,28,3,0.07,0.4,0.12
58,0,32,30,3,0,0,0
59,1,38,29,4,0.03,0.2,0.05
60,1,25,29,5,0.03,0.17,0.05
61,4,29,26,2,0.13,0.67,0.22
62,0,37,30,3,0,0,0
63,0,38,30,4,0,0,0
64,0,49,30,3,0,0,0
65,2,39,28,4,0.07,0.33,0.12
66,6,61,24,3,0.2,0.67,0.31
67,0,19,30,5,0,0,0
68,0,79,30,3,0,0,0
69,3,82,27,2,0.1,0.6,0.17
70,0,70,30,3,0,0,0
71,3,53,27,3,0.1,0.5,0.17
72,5,8,25,2,0.17,0.71,0.27
73,8,57,22,3,0.27,0.73,0.39
74,7,43,23,2,0.23,0.78,0.36
75,0,21,30,3,0,0,0
76,1,35,29,4,0.03,0.2,0.05
77,0,33,30,3,0,0,0
78,0,42,30,5,0,0,0
79,2,43,28,2,0.07,0.5,0.12
80,0,44,30,5,0,0,0
81,3,49,27,4,0.1,0.43,0.16
82,1,43,29,2,0.03,0.33,0.06
83,2,33,28,3,0.07,0.4,0.12
84,0,30,30,4,0,0,0
85,0,14,30,3,0,0,0
86,2,39,28,3,0.07,0.4,0.12
87,2,64,28,4,0.07,0.33,0.12
88,2,60,28,3,0.07,0.4,0.12
89,0,32,30,6,0,0,0
90,0,32,30,3,0,0,0
91,1,38,29,2,0.03,0.33,0.06
92,3,97,27,3,0.1,0.5,0.17
93,6,55,24,1,0.2,0.86,0.32
94,0,27,30,4,0,0,0
95,11,62,19,0,0.37,1,0.54
96,1,17,29,2,0.03,0.33,0.06
97,0,51,30,7,0,0,0
98,0,39,30,5,0,0,0
99,2,61,28,4,0.07,0.33,0.12
100,3,33,27,2,0.1,0.6,0.17
,,,,,0.0724,0.3007,0.1147
