Data uji ke-,TP,TN,FP,FN,Precision,Recall,F1-Score
1,2,50,18,3,0.1,0.4,0.16
2,0,61,20,5,0.0,0.0,0.0
3,4,72,16,4,0.2,0.5,0.29
4,0,55,20,4,0.0,0.0,0.0
5,4,39,16,5,0.2,0.44,0.28
6,2,71,18,4,0.1,0.33,0.15
7,0,81,20,5,0.0,0.0,0.0
8,0,51,20,6,0.0,0.0,0.0
9,3,33,17,5,0.15,0.38,0.22
10,0,90,20,5,0.0,0.0,0.0
11,0,77,20,5,0.0,0.0,0.0
12,0,71,20,4,0.0,0.0,0.0
13,0,92,20,5,0.0,0.0,0.0
14,1,38,19,3,0.05,0.25,0.08
15,0,68,20,6,0.0,0.0,0.0
16,0,65,20,5,0.0,0.0,0.0
17,0,66,20,5,0.0,0.0,0.0
18,0,40,20,6,0.0,0.0,0.0
19,1,54,19,4,0.05,0.2,0.08
20,0,73,20,5,0.0,0.0,0.0
21,0,48,20,5,0.0,0.0,0.0
22,0,91,20,3,0.0,0.0,0.0
23,0,104,20,5,0.0,0.0,0.0
24,0,60,20,6,0.0,0.0,0.0
25,0,74,20,5,0.0,0.0,0.0
26,4,43,16,3,0.2,0.57,0.3
27,4,69,16,6,0.2,0.4,0.27
28,0,35,20,6,0.0,0.0,0.0
29,0,37,20,4,0.0,0.0,0.0
30,0,102,20,5,0.0,0.0,0.0
31,0,90,20,4,0.0,0.0,0.0
32,0,34,20,4,0.0,0.0,0.0
33,0,104,20,5,0.0,0.0,0.0
34,0,43,20,5,0.0,0.0,0.0
35,3,82,17,4,0.15,0.43,0.22
36,1,67,19,4,0.05,0.2,0.08
37,0,39,20,3,0.0,0.0,0.0
38,0,74,20,4,0.0,0.0,0.0
39,0,56,20,5,0.0,0.0,0.0
40,0,69,20,6,0.0,0.0,0.0
41,0,83,20,5,0.0,0.0,0.0
42,0,44,20,5,0.0,0.0,0.0
43,0,53,20,4,0.0,0.0,0.0
44,4,29,16,4,0.2,0.5,0.29
45,0,77,20,4,0.0,0.0,0.0
46,0,65,20,6,0.0,0.0,0.0
47,6,77,14,4,0.3,0.6,0.4
48,0,94,20,6,0.0,0.0,0.0
49,3,24,17,4,0.15,0.43,0.22
50,0,87,20,5,0.0,0.0,0.0
51,0,73,20,5,0.0,0.0,0.0
52,0,101,20,4,0.0,0.0,0.0
53,2,53,18,2,0.1,0.5,0.17
54,0,52,20,4,0.0,0.0,0.0
55,0,61,20,4,0.0,0.0,0.0
56,8,101,12,4,0.4,0.67,0.5
57,0,94,20,4,0.0,0.0,0.0
58,0,63,20,3,0.0,0.0,0.0
59,0,54,20,5,0.0,0.0,0.0
60,0,53,20,6,0.0,0.0,0.0
61,0,46,20,3,0.0,0.0,0.0
62,0,59,20,3,0.0,0.0,0.0
63,0,56,20,4,0.0,0.0,0.0
64,0,87,20,3,0.0,0.0,0.0
65,0,61,20,5,0.0,0.0,0.0
66,0,76,20,5,0.0,0.0,0.0
67,0,36,20,5,0.0,0.0,0.0
68,0,138,20,3,0.0,0.0,0.0
69,0,97,20,3,0.0,0.0,0.0
70,0,99,20,3,0.0,0.0,0.0
71,6,71,14,5,0.3,0.55,0.39
72,2,22,18,4,0.1,0.33,0.15
73,4,70,16,4,0.2,0.5,0.29
74,0,55,20,4,0.0,0.0,0.0
75,0,57,20,3,0.0,0.0,0.0
76,0,65,20,5,0.0,0.0,0.0
77,0,60,20,3,0.0,0.0,0.0
78,0,77,20,5,0.0,0.0,0.0
79,0,70,20,4,0.0,0.0,0.0
80,0,68,20,5,0.0,0.0,0.0
81,6,79,14,4,0.3,0.6,0.4
82,0,60,20,3,0.0,0.0,0.0
83,4,76,16,4,0.2,0.5,0.29
84,0,54,20,4,0.0,0.0,0.0
85,0,31,20,3,0.0,0.0,0.0
86,0,57,20,4,0.0,0.0,0.0
87,0,89,20,5,0.0,0.0,0.0
88,0,94,20,5,0.0,0.0,0.0
89,0,47,20,6,0.0,0.0,0.0
90,0,55,20,3,0.0,0.0,0.0
91,0,75,20,3,0.0,0.0,0.0
92,0,109,20,5,0.0,0.0,0.0
93,0,85,20,4,0.0,0.0,0.0
94,0,47,20,4,0.0,0.0,0.0
95,15,99,5,3,0.75,0.83,0.79
96,0,39,20,3,0.0,0.0,0.0
97,2,68,18,6,0.1,0.25,0.14
98,0,61,20,5,0.0,0.0,0.0
99,0,80,20,5,0.0,0.0,0.0
100,3,55,17,3,0.15,0.5,0.23
